event_id,dataset,setting,vehicle,file,attack_type,start_time,end_time,start_index,end_index,num_positive_samples,duration_seconds,gap_threshold,construction_rule
ctt_test02_30,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,3013.0,3015.0,20912,20914,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_31,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,3016.0,3017.0,20915,20916,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_32,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,3018.0,3020.0,20917,20919,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_33,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,3021.0,9160.0,20920,31553,1,6139.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_34,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9161.0,9163.0,31554,31556,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_35,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9164.0,9166.0,31557,31559,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_36,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9167.0,9168.0,31560,31561,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_37,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9169.0,9171.0,31562,31564,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_38,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9172.0,9173.0,31565,31566,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_39,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9174.0,9176.0,31567,31569,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_40,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9177.0,9179.0,31570,31572,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_41,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9180.0,9181.0,31573,31574,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_42,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9182.0,9184.0,31575,31577,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_43,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9185.0,9187.0,31578,31580,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_44,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9188.0,9189.0,31581,31582,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_45,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9190.0,9192.0,31583,31585,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_46,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9193.0,9195.0,31586,31588,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_47,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9196.0,9197.0,31589,31590,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_48,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9198.0,9200.0,31591,31593,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_49,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9201.0,9203.0,31594,31596,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_50,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9204.0,9205.0,31597,31598,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_51,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9206.0,9208.0,31599,31601,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_52,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9209.0,9210.0,31602,31603,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_53,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9211.0,9213.0,31604,31606,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_54,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9214.0,9216.0,31607,31609,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_55,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9217.0,9218.0,31610,31611,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_56,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9219.0,9221.0,31612,31614,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_57,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9222.0,9224.0,31615,31617,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_58,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9225.0,9226.0,31618,31619,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_59,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9227.0,9229.0,31620,31622,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_60,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9230.0,9232.0,31623,31625,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_61,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9233.0,9234.0,31626,31627,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_62,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9235.0,9237.0,31628,31630,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_63,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9238.0,9240.0,31631,31633,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_64,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9241.0,9242.0,31634,31635,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_65,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9243.0,9245.0,31636,31638,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_66,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9246.0,9247.0,31639,31640,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_67,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9248.0,9250.0,31641,31643,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_68,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9251.0,9253.0,31644,31646,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_69,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9254.0,9255.0,31647,31648,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_70,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9256.0,9258.0,31649,31651,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_71,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9259.0,9261.0,31652,31654,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_72,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9262.0,9263.0,31655,31656,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_73,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,9264.0,9266.0,31657,31659,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
